antisamy-markup-formatter          OWASP Markup Formatter Plugin               162.v0e6ec0fcfcf6
apache-httpcomponents-client-4-api Apache HttpComponents Client 4.x API Plugin 4.5.14-208.v438351942757
asm-api                            ASM API Plugin                              9.7.1-97.v4cc844130d97
authentication-tokens              Authentication Tokens API Plugin            1.119.v50285141b_7e1
bootstrap5-api                     Bootstrap 5 API Plugin                      5.3.3-1
bouncycastle-api                   bouncycastle API Plugin                     2.30.1.78.1-248.ve27176eb_46cb_
branch-api                         Branch API Plugin                           2.1200.v4b_a_3da_2eb_db_4
caffeine-api                       Caffeine API Plugin                         3.1.8-133.v17b_1ff2e0599
cloudbees-folder                   Folders Plugin                              6.955.v81e2a_35c08d3 (6.963.v6edc0fc71472)
commons-lang3-api                  commons-lang3 v3.x Jenkins API Plugin       3.17.0-84.vb_b_938040b_078
commons-text-api                   commons-text API Plugin                     1.12.0-129.v99a_50df237f7
configuration-as-code              Configuration as Code Plugin                1887.v9e47623cb_043 (1903.v004d55388f30)
credentials-binding                Credentials Binding Plugin                  687.v619cb_15e923f
credentials                        Credentials Plugin                          1389.vd7a_b_f5fa_50a_2
display-url-api                    Display URL API                             2.209.v582ed814ff2f
durable-task                       Durable Task Plugin                         577.v2a_8a_4b_7c0247 (581.v299a_5609d767)
font-awesome-api                   Font Awesome API Plugin                     6.6.0-2
git-client                         Git client plugin                           6.1.0
git                                Git plugin                                  5.6.0
gson-api                           Gson API Plugin                             2.11.0-85.v1f4e87273c33
instance-identity                  Instance Identity                           201.vd2a_b_5a_468a_a_6
ionicons-api                       Ionicons API                                74.v93d5eb_813d5f
jackson2-api                       Jackson 2 API Plugin                        2.17.0-379.v02de8ec9f64c
jakarta-activation-api             Jakarta Activation API                      2.1.3-1
jakarta-mail-api                   Jakarta Mail API                            2.1.3-1
javax-activation-api               JavaBeans Activation Framework (JAF) API    1.2.0-7
jaxb                               JAXB plugin                                 2.3.9-1
joda-time-api                      Joda Time API Plugin                        2.13.0-93.v9934da_29b_a_e9
json-api                           JSON Api Plugin                             20240303-101.v7a_8666713110
kubernetes-client-api              Kubernetes Client API Plugin                6.10.0-240.v57880ce8b_0b_2
kubernetes-credentials             Kubernetes Credentials Plugin               190.v03c305394deb_
kubernetes                         Kubernetes plugin                           4295.v7fa_01b_309c95 (4302.va_756e4b_67715)
mailer                             Mailer Plugin                               489.vd4b_25144138f
metrics                            Metrics Plugin                              4.2.21-458.vcf496cb_839e4
mina-sshd-api-common               Mina SSHD API :: Common                     2.14.0-133.vcc091215a_358
mina-sshd-api-core                 Mina SSHD API :: Core                       2.14.0-133.vcc091215a_358
